time_us,aligned_input_v,captured_output_v
9.898399999999999466e+01,-2.167485293701015836e-02,-2.307100000000000123e-02
9.899200000000000443e+01,-2.416742625435519196e-02,-2.624500000000000097e-02
9.900000000000000000e+01,-2.685127889861708278e-02,-3.002900000000000014e-02
9.900799999999999557e+01,-2.971927815469695838e-02,-3.137199999999999711e-02
9.901600000000000534e+01,-3.276394671937796904e-02,-3.674299999999999788e-02
9.902400000000000091e+01,-3.597747643050171196e-02,-4.089399999999999979e-02
9.903199999999999648e+01,-3.935174260032201637e-02,-4.223600000000000271e-02
9.904000000000000625e+01,-4.287831892696196412e-02,-4.663099999999999884e-02
9.904800000000000182e+01,-4.654849295665596659e-02,-5.151399999999999729e-02
9.905599999999999739e+01,-5.035328206852460881e-02,-5.407700000000000007e-02
9.906399999999999295e+01,-5.428344995277461366e-02,-5.749499999999999750e-02
9.907200000000000273e+01,-5.832952355224801932e-02,-6.347700000000000564e-02
9.907999999999999829e+01,-6.248181043640772814e-02,-6.750499999999999556e-02
9.908799999999999386e+01,-6.673041657584653785e-02,-7.006800000000000528e-02
9.909600000000000364e+01,-7.106526448526803708e-02,-7.434100000000000430e-02
9.910399999999999920e+01,-7.547611170142012882e-02,-7.788100000000000578e-02
9.911199999999999477e+01,-7.995256956243314284e-02,-8.373999999999999500e-02
9.912000000000000455e+01,-8.448412225436154055e-02,-8.801299999999999402e-02
9.912800000000000011e+01,-8.906014609005991067e-02,-9.314000000000000057e-02
9.913599999999999568e+01,-9.366992898507822685e-02,-9.729000000000000148e-02
9.914399999999999125e+01,-9.830269009537848102e-02,-1.035159999999999969e-01
9.915200000000000102e+01,-1.029475995805916450e-01,-1.060790000000000066e-01
9.916000000000001080e+01,-1.075937984571842393e-01,-1.105959999999999999e-01
9.916799999999999216e+01,-1.122304185048167841e-01,-1.163330000000000058e-01
9.917600000000000193e+01,-1.168466021900946283e-01,-1.196289999999999992e-01
9.918399999999999750e+01,-1.214315225707772866e-01,-1.248780000000000029e-01
9.919199999999999307e+01,-1.259744031446507206e-01,-1.296390000000000042e-01
9.920000000000000284e+01,-1.304645376063681417e-01,-1.340330000000000132e-01
9.920799999999999841e+01,-1.348913094765320786e-01,-1.378169999999999951e-01
9.921599999999999397e+01,-1.392442115670616265e-01,-1.426999999999999935e-01
9.922400000000000375e+01,-1.435128652472307531e-01,-1.462400000000000089e-01
9.923199999999999932e+01,-1.476870394753110050e-01,-1.510009999999999963e-01
9.924000000000000909e+01,-1.517566695611785033e-01,-1.549069999999999891e-01
9.924799999999999045e+01,-1.557118756252947600e-01,-1.590580000000000049e-01
9.925600000000000023e+01,-1.595429807208515738e-01,-1.630860000000000087e-01
9.926400000000001000e+01,-1.632405285854757748e-01,-1.662599999999999911e-01
9.927199999999999136e+01,-1.667953009905955852e-01,-1.694340000000000013e-01
9.928000000000000114e+01,-1.701983346563294697e-01,-1.739499999999999935e-01
9.928799999999999670e+01,-1.734409377014170806e-01,-1.757809999999999928e-01
9.929600000000000648e+01,-1.765147055979466306e-01,-1.807860000000000023e-01
9.930400000000000205e+01,-1.794115366017517144e-01,-1.821290000000000131e-01
9.931199999999999761e+01,-1.821236466303965684e-01,-1.848140000000000061e-01
9.932000000000000739e+01,-1.846435835615699017e-01,-1.885989999999999889e-01
9.932799999999998875e+01,-1.869642409257961657e-01,-1.903080000000000049e-01
9.933599999999999852e+01,-1.890788709683250135e-01,-1.931150000000000089e-01
9.934400000000000830e+01,-1.909810970566503674e-01,-1.932369999999999921e-01
9.935199999999998965e+01,-1.926649254107024867e-01,-1.950679999999999914e-01
9.935999999999999943e+01,-1.941247561344485451e-01,-1.971440000000000137e-01
9.936799999999999500e+01,-1.953553935288111776e-01,-1.984859999999999958e-01
9.937600000000000477e+01,-1.963520556669771655e-01,-1.984859999999999958e-01
9.938400000000000034e+01,-1.971103832146224866e-01,-1.983640000000000125e-01
9.939199999999999591e+01,-1.976264474790204451e-01,-2.006840000000000013e-01
