time_us,captured_v
4.074399999999999977e+01,5.736999999999999912e-03
4.075199999999999534e+01,1.916500000000000148e-02
4.076000000000000512e+01,-2.514600000000000168e-02
4.076800000000000068e+01,9.766000000000000375e-03
4.077599999999999625e+01,1.550299999999999942e-02
4.078399999999999892e+01,-1.098999999999999934e-03
4.079200000000000159e+01,1.391599999999999955e-02
4.080000000000000426e+01,-1.257300000000000084e-02
4.080799999999999983e+01,-5.615000000000000199e-03
4.081599999999999540e+01,1.000999999999999980e-02
4.082399999999999807e+01,-4.089399999999999979e-02
4.083200000000000074e+01,-9.460399999999999365e-02
4.084000000000000341e+01,-1.130369999999999986e-01
4.084799999999999898e+01,-1.650389999999999913e-01
4.085600000000000165e+01,-1.859129999999999949e-01
4.086399999999999721e+01,-1.502690000000000137e-01
4.087199999999999989e+01,-1.525880000000000014e-01
4.088000000000000256e+01,-8.386200000000000598e-02
4.088799999999999812e+01,-3.906199999999999950e-02
4.089600000000000080e+01,-4.650900000000000173e-02
4.090400000000000347e+01,-6.104000000000000051e-03
4.091199999999999903e+01,-1.513699999999999941e-02
4.092000000000000171e+01,3.137199999999999711e-02
4.092799999999999727e+01,4.125999999999999807e-02
4.093599999999999994e+01,-2.575699999999999865e-02
4.094400000000000261e+01,-1.391599999999999955e-02
4.095199999999999818e+01,-3.479000000000000148e-02
4.096000000000000085e+01,-2.368200000000000166e-02
4.096799999999999642e+01,-1.855499999999999858e-02
4.097599999999999909e+01,-1.830999999999999945e-03
4.098400000000000176e+01,6.127900000000000014e-02
4.099200000000000443e+01,6.152300000000000130e-02
4.100000000000000000e+01,8.459500000000000353e-02
4.100799999999999557e+01,5.127000000000000307e-02
4.101599999999999824e+01,2.001999999999999960e-02
4.102400000000000091e+01,1.745599999999999929e-02
4.103200000000000358e+01,-5.029299999999999743e-02
4.103999999999999915e+01,-1.794400000000000162e-02
4.104799999999999471e+01,2.490200000000000052e-02
4.105600000000000449e+01,-4.186999999999999750e-02
4.106400000000000006e+01,-7.666000000000000592e-02
4.107200000000000273e+01,-7.519499999999999795e-02
4.107999999999999829e+01,-5.370999999999999906e-03
4.108799999999999386e+01,2.307100000000000123e-02
4.109600000000000364e+01,1.587000000000000086e-03
4.110399999999999920e+01,6.115700000000000303e-02
4.111200000000000188e+01,6.652800000000000380e-02
4.111999999999999744e+01,4.711900000000000116e-02
4.112800000000000011e+01,8.264199999999999324e-02
4.113600000000000279e+01,1.270749999999999935e-01
4.114399999999999835e+01,1.204830000000000068e-01
4.115200000000000102e+01,6.518599999999999395e-02
4.115999999999999659e+01,4.821799999999999697e-02
4.116800000000000637e+01,6.970200000000000007e-02
4.117600000000000193e+01,6.530800000000000494e-02
4.118399999999999750e+01,4.760999999999999607e-03
4.119200000000000017e+01,-6.579599999999999338e-02
4.119999999999999574e+01,-7.873499999999999943e-02
4.120800000000000551e+01,-8.776899999999999979e-02
4.121600000000000108e+01,-5.102500000000000091e-02
4.122399999999999665e+01,3.259299999999999697e-02
4.123199999999999932e+01,4.516599999999999782e-02
4.123999999999999488e+01,2.282700000000000007e-02
4.124800000000000466e+01,5.126999999999999613e-03
4.125600000000000023e+01,4.760999999999999607e-03
4.126400000000000290e+01,6.628399999999999570e-02
4.127199999999999847e+01,8.337400000000000366e-02
4.128000000000000114e+01,7.067900000000000571e-02
4.128800000000000381e+01,4.101599999999999691e-02
4.129599999999999937e+01,3.173800000000000232e-02
4.130400000000000205e+01,1.002200000000000035e-01
4.131199999999999761e+01,9.448199999999999654e-02
4.132000000000000028e+01,6.396499999999999408e-02
4.132800000000000296e+01,7.409699999999999620e-02
4.133599999999999852e+01,1.831100000000000089e-02
4.134400000000000119e+01,-5.175799999999999845e-02
4.135199999999999676e+01,-3.869600000000000123e-02
4.135999999999999943e+01,-5.615000000000000199e-03
4.136800000000000210e+01,-4.357899999999999968e-02
4.137599999999999767e+01,-1.192629999999999940e-01
4.138400000000000034e+01,-1.831049999999999900e-01
4.139199999999999591e+01,-2.044680000000000109e-01
4.139999999999999858e+01,-1.657710000000000017e-01
4.140800000000000125e+01,-1.381840000000000013e-01
4.141599999999999682e+01,-1.081540000000000001e-01
4.142399999999999949e+01,-1.159670000000000006e-01
4.143200000000000216e+01,-1.378169999999999951e-01
4.144000000000000483e+01,-1.047359999999999958e-01
4.144800000000000040e+01,-9.008800000000000141e-02
4.145599999999999596e+01,-5.664099999999999691e-02
4.146399999999999864e+01,-2.636700000000000155e-02
4.147200000000000131e+01,-7.519499999999999795e-02
4.148000000000000398e+01,-1.235350000000000059e-01
4.148799999999999955e+01,-1.490480000000000138e-01
4.149599999999999511e+01,-1.562500000000000000e-01
4.150399999999999778e+01,-1.340330000000000132e-01
4.151200000000000045e+01,-1.370850000000000124e-01
4.152000000000000313e+01,-9.875499999999999556e-02
4.152799999999999869e+01,-4.577599999999999725e-02
4.153599999999999426e+01,-2.954100000000000129e-02
4.154400000000000404e+01,6.420900000000000218e-02
4.155199999999999960e+01,1.680909999999999904e-01
4.156000000000000227e+01,1.994630000000000014e-01
4.156799999999999784e+01,2.148440000000000072e-01
